# 300_syn 301_syn
# num of data: 325
8201 11257
8202 11534
8202 11580
8202 11681
8238 11382
8238 11422
8238 11534
8238 11580
8239 11382
8239 11422
8239 11534
8239 11580
8240 11382
8240 11422
8240 11534
8240 11580
8241 11382
8241 11422
8241 11534
8241 11580
8242 11083
8242 11215
8243 11083
8243 11215
8804 11080
8804 11083
8804 11215
8804 11218
8804 11257
8806 11382
8806 11422
8806 11534
8806 11580
8807 11422
8807 11534
8807 11580
8807 11681
8808 11580
8808 11681
8808 11723
8808 11802
8851 11534
8851 11580
8851 11681
8852 11534
8852 11580
8852 11681
8853 11422
8853 11534
8853 11580
8853 11681
8854 11382
8854 11420
8854 11421
8854 11422
8854 11534
8856 11080
8856 11083
8856 11215
8856 11218
8856 11257
9482 11083
9482 11215
9482 11218
9482 11257
9484 11422
9484 11534
9484 11580
9485 11580
9485 11681
9485 11723
9486 11681
9486 11723
9486 11802
9536 11723
9538 11422
9538 11534
9538 11536
9538 11537
9538 11538
9538 11580
9540 11215
10194 11422
10194 11536
10194 11537
10194 11538
10195 11422
10195 11536
10195 11537
10195 11538
10257 11420
10257 11421
10257 11536
10257 11537
10257 11538
13404 10813
13404 10877
13524 10813
13524 10877
14093 10877
14093 11092
14093 11093
14094 10877
14094 11092
14094 11093
14524 10813
14524 10877
14524 11022
14524 11092
14524 11093
14524 11203
14644 10877
14644 11022
14644 11092
14644 11093
14644 11203
14646 11092
14646 11093
15070 11092
15070 11093
15070 11203
15071 10877
15071 11022
15071 11092
15071 11093
15071 11203
15084 11949
15084 11972
15085 11949
15085 11972
15086 11949
15086 11972
15170 11972
15171 11879
15171 11949
15171 11972
15189 10877
15189 11022
15189 11092
15189 11093
15189 11203
15190 10877
15190 11022
15190 11092
15190 11093
15190 11203
15191 10877
15191 11022
15191 11092
15191 11093
15191 11203
15192 11092
15192 11093
15192 11203
15591 11092
15591 11093
15591 11203
15591 11272
15592 10877
15592 11022
15592 11092
15592 11093
15592 11203
15593 11022
15593 11092
15593 11093
15593 11203
15593 11272
15607 11879
15607 11949
15607 11972
15608 11972
15609 11952
15706 11879
15706 11949
15706 11972
15719 11022
15719 11092
15719 11093
15720 11272
16071 11203
16071 11272
16072 11203
16072 11272
16073 11022
16084 11852
16085 11949
16085 11972
16086 11949
16086 11972
16087 11949
16087 11972
16089 11952
16192 11972
16193 11949
16193 11972
16194 11739
16194 11740
16194 11788
16194 11852
16208 11272
16208 11368
16528 11368
16529 11368
16546 11972
16659 11368
16659 11434
16660 11434
16952 11434
16953 11520
16953 11521
17080 11434
17358 11520
17358 11521
17359 11520
17359 11521
19711 11686
19711 11687
19837 11686
19837 11687
19964 11574
19964 11686
19964 11687
20203 11541
20203 11542
20203 11574
20204 11541
20204 11542
20204 11574
20329 11417
20329 11418
20329 11419
20329 11541
20329 11542
20768 11219
20857 11079
20857 11219
20857 11256
20857 11384
20937 10863
20937 11038
20937 11079
20937 11219
20938 10863
20938 11038
20938 11079
20938 11219
20939 10863
20939 11038
20939 11079
20939 11219
21013 10829
21013 10863
21013 11038
21013 11079
21013 11219
21013 11256
21014 10863
21014 11038
21014 11079
21014 11219
21015 10863
21015 11038
21015 11079
21015 11219
21016 10863
21016 11038
21016 11079
21016 11219
21086 10620
21086 10621
21086 10829
21086 10863
21086 11038
21086 11079
21087 10829
21087 10863
21087 11038
21087 11079
21087 11219
21088 10829
21088 10863
21088 11038
21088 11079
21088 11219
21160 10863
21160 11038
21160 11079
21160 11219
21161 10829
21161 10863
21161 11038
21161 11079
21161 11219
21235 10829
21236 10380
21236 10592
21236 10620
21236 10621
21236 10829
21236 10863
21237 10829
21237 10863
21237 11038
21237 11079
21308 10863
21308 11038
21308 11079
21309 10351
21309 10380
21309 10592
21309 10620
21309 10621
21309 10829
21374 10089
21374 10351
21374 10380
21374 10592
21375 10089
21375 10351
21375 10380
21375 10592
21436 10089
21436 10351
21436 10380
