# 200_syn 301_syn
# num of data: 292
520 10342
520 10391
571 11706
596 11403
596 11555
596 11556
596 11561
596 11698
596 11706
597 11403
597 11555
597 11556
597 11561
597 11698
597 11706
626 11239
626 11400
626 11403
626 11555
626 11556
626 11561
627 11555
627 11556
627 11561
627 11698
627 11706
632 11400
632 11403
632 11555
632 11556
632 11561
633 11058
633 11236
633 11239
633 11400
633 11403
661 11055
661 11058
661 11236
661 11239
661 11400
667 11238
667 11401
667 11402
668 11238
668 11401
668 11402
669 11055
669 11058
669 11236
704 10841
704 10842
704 10845
704 10846
704 11055
705 10841
705 10842
705 10845
705 10846
705 11055
713 11238
713 11401
713 11402
714 11238
714 11401
714 11402
715 11238
715 11401
715 11402
716 10608
716 10609
716 10841
716 10846
750 10606
750 10843
750 10844
750 11056
750 11057
781 10605
781 10606
781 10843
781 10844
783 10606
783 10843
793 10363
793 10364
793 10605
793 10606
794 10363
794 10364
794 10605
794 10606
807 11252
807 11253
807 11387
808 10361
808 10362
809 10361
809 10362
810 10363
810 10364
810 10605
825 10832
825 10860
825 11041
825 11076
825 11222
825 11252
825 11253
825 11393
831 11387
831 11393
832 11387
832 11393
833 9730
833 10075
833 10076
833 10361
833 10362
834 10075
834 10076
834 10361
834 10362
835 10075
835 10076
835 10361
835 10362
836 11051
836 11068
836 11229
836 11245
836 11246
837 11051
837 11068
837 11229
837 11245
837 11246
857 11229
858 9728
858 9731
858 10074
859 10075
860 10075
861 11041
861 11076
861 11222
870 9379
870 9728
870 9731
870 10074
871 10601
871 10611
871 10838
871 10850
871 11051
871 11068
871 11229
872 10601
872 10611
872 10838
872 10850
872 11051
872 11068
872 11229
891 10357
891 10368
891 10369
891 10601
891 10611
891 10838
891 10850
891 11051
891 11068
892 9376
892 9379
892 9728
892 9731
892 10074
903 8985
903 9376
903 9379
904 8985
904 9376
904 9379
905 9376
905 9379
905 9728
905 9731
905 10074
906 10064
906 10083
906 10357
906 10368
906 10369
906 10601
906 10611
906 10838
906 10850
907 10064
907 10083
907 10357
907 10368
907 10369
907 10601
907 10611
907 10838
907 10850
921 10064
921 10083
921 10357
921 10368
921 10369
921 10601
921 10611
922 10064
922 10083
922 10357
922 10368
922 10369
922 10601
922 10611
923 9376
923 9379
923 9728
923 9731
924 8982
924 8985
924 9376
924 9379
935 8568
935 8569
935 8982
935 8985
935 9376
937 9723
937 9738
937 10064
937 10083
937 10357
938 9723
938 9738
938 10064
938 10083
938 10357
939 9723
939 9738
939 10064
939 10083
939 10357
940 10083
940 10357
957 9388
957 9389
957 9723
957 9738
958 9388
958 9389
958 9723
958 9738
959 9366
959 9388
959 9389
959 9723
959 9738
959 10064
959 10083
969 8996
969 9362
969 9392
969 9720
969 9741
969 10060
970 8996
970 9362
970 9392
970 9720
970 9741
970 10060
1009 9366
1009 9723
1010 6076
1010 6569
1011 9362
1021 6074
1021 6076
1021 6569
1021 6623
1022 9366
1080 8118
1080 8119
1100 11550
1105 11407
